store_id,chain,store_name,sale_start,sale_end,product_name,specification,price_ex_tax_yen,price_in_tax_yen,tax_rate,promotion,category,availability_rule,scope_level,source_type,validation_status
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,真あじ開干（小）,1枚,99,106,0.08,均一本体価格99円,鮮魚,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,やりいか切身（解凍・加熱用）,100g当り,99,106,0.08,均一本体価格99円,鮮魚,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,洗いもずく,110g,99,106,0.08,均一本体価格99円,鮮魚,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,中国産大粒あさり（解凍・加熱用）,100g当り,99,106,0.08,均一本体価格99円,鮮魚,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,海鮮ハンバーグ（いわし・まぐろ）,各1個,99,106,0.08,均一本体価格99円,鮮魚,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,オーシャンキング（生食用）,100g当り,99,106,0.08,均一本体価格99円,鮮魚,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,からふとししゃも（オス）,100g当り,99,106,0.08,均一本体価格99円,鮮魚,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,米国産豚肉ロースこま切れ,100g当り／ジャンボパック限定,99,106,0.08,均一本体価格99円,精肉,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,国内産若どりむね挽肉（解凍品）,100g当り／ファミリーパック限定,99,106,0.08,均一本体価格99円,精肉,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,国内産 若どりささみ,100g当り,99,106,0.08,均一本体価格99円,精肉,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,国内産 若どりチキンカツレツ（ガーリックバター風）,100g当り,99,106,0.08,均一本体価格99円,精肉,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,日清 麺職人（醤油／味噌）,醤油87g・味噌97g,99,106,0.08,均一本体価格99円,加工食品,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,日清 デカうま 焼そば,153g,99,106,0.08,均一本体価格99円,加工食品,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,ネスカフェ エクセラボトルコーヒー（無糖／甘さひかえめ）,各900ml,99,106,0.08,均一本体価格99円,加工食品,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,ピーマン,1袋／岩手・福島産など,99,106,0.08,均一本体価格99円,青果,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,さつまいも（Mサイズ）,1本／千葉・茨城産など,99,106,0.08,均一本体価格99円,青果,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,キウイフルーツ（サンゴールド）,1コ／ニュージーランド産,99,106,0.08,均一本体価格99円,青果,,product_group_child,uniform99_verified,verified
life_hikawadai,ライフ,氷川台店,2026-09-09,2026-09-11,アボカド（小玉）,1コ／ペルー産など,99,106,0.08,均一本体価格99円,青果,,product_group_child,uniform99_verified,verified
